,y_test,y_pred
139,Standard Class,Standard Class
140,Same Day,Standard Class
141,Second Class,Second Class
142,Second Class,Standard Class
143,Second Class,Second Class
144,Second Class,Standard Class
145,Same Day,Second Class
146,Standard Class,First Class
147,Standard Class,Standard Class
148,Standard Class,Standard Class
149,Second Class,Second Class
150,Second Class,Standard Class
151,Standard Class,Standard Class
152,Second Class,Standard Class
153,Standard Class,Standard Class
154,Standard Class,Standard Class
155,First Class,Second Class
156,First Class,First Class
157,Standard Class,Standard Class
158,Standard Class,Standard Class
159,Second Class,Standard Class
160,Second Class,Standard Class
161,Second Class,Standard Class
162,First Class,First Class
163,First Class,First Class
164,Second Class,First Class
165,Standard Class,Standard Class
166,First Class,First Class
167,Second Class,Second Class
168,Standard Class,Standard Class
169,Same Day,Same Day
170,First Class,First Class
171,Standard Class,Standard Class
172,Standard Class,Standard Class
173,Standard Class,Standard Class
174,Standard Class,Standard Class
175,Second Class,Standard Class
176,First Class,Standard Class
177,First Class,Second Class
178,First Class,First Class
179,Standard Class,Standard Class
180,Second Class,Standard Class
181,First Class,First Class
182,First Class,First Class
183,First Class,Standard Class
184,Standard Class,Standard Class
185,Standard Class,Standard Class
186,Standard Class,Second Class
187,First Class,Standard Class
188,Standard Class,Standard Class
189,Second Class,Second Class
190,Second Class,First Class
191,Standard Class,Standard Class
192,Standard Class,Standard Class
193,Standard Class,Standard Class
194,Standard Class,Standard Class
195,Standard Class,Standard Class
196,Standard Class,Standard Class
197,Standard Class,Standard Class
198,Standard Class,Standard Class
199,Standard Class,Standard Class
200,First Class,Standard Class
201,Second Class,Second Class
202,Standard Class,Standard Class
203,Standard Class,Standard Class
204,Standard Class,Standard Class
205,First Class,Standard Class
206,Standard Class,Standard Class
207,Standard Class,Standard Class
208,Same Day,First Class
209,Second Class,Standard Class
210,First Class,Standard Class
211,Standard Class,Standard Class
212,Standard Class,Standard Class
213,Standard Class,Standard Class
214,Standard Class,Standard Class
215,Standard Class,Standard Class
216,Standard Class,Standard Class
217,Standard Class,Standard Class
218,Second Class,First Class
219,Second Class,Standard Class
220,Second Class,Second Class
221,Standard Class,Standard Class
222,Standard Class,Standard Class
223,Standard Class,Standard Class
224,Second Class,Standard Class
225,Standard Class,Standard Class
226,Standard Class,Standard Class
227,Second Class,Standard Class
228,Standard Class,Standard Class
229,Standard Class,Standard Class
230,Standard Class,Standard Class
231,Standard Class,Standard Class
232,Standard Class,Standard Class
233,Second Class,Standard Class
234,Standard Class,Standard Class
235,Standard Class,Standard Class
236,Standard Class,Standard Class
237,Standard Class,Standard Class
238,Standard Class,Standard Class
239,First Class,First Class
240,Standard Class,Standard Class
241,First Class,Second Class
242,Standard Class,Standard Class
243,Standard Class,Standard Class
244,First Class,Second Class
245,Standard Class,Standard Class
246,Standard Class,Standard Class
247,Same Day,Standard Class
248,Standard Class,Standard Class
249,Standard Class,Standard Class
250,Second Class,Standard Class
251,Standard Class,Standard Class
252,First Class,Standard Class
253,Standard Class,Standard Class
254,Standard Class,Standard Class
255,Standard Class,Standard Class
256,Standard Class,Standard Class
257,Standard Class,Standard Class
258,First Class,Standard Class
259,Standard Class,Standard Class
260,Same Day,Standard Class
261,Standard Class,Standard Class
262,Standard Class,First Class
263,Standard Class,Standard Class
264,Standard Class,Standard Class
265,Same Day,Standard Class
266,Standard Class,Standard Class
267,Same Day,Same Day
268,Standard Class,Standard Class
269,Same Day,Standard Class
270,First Class,Standard Class
271,Standard Class,Standard Class
272,First Class,First Class
273,Standard Class,Standard Class
274,Standard Class,Second Class
275,Standard Class,Standard Class
276,Standard Class,Standard Class
277,Standard Class,Standard Class
278,Second Class,Standard Class
279,Standard Class,Standard Class
280,Standard Class,Standard Class
281,Standard Class,Second Class
282,Standard Class,Standard Class
283,Standard Class,Standard Class
284,Standard Class,Standard Class
285,Standard Class,Standard Class
286,Standard Class,Standard Class
287,Standard Class,Standard Class
288,Standard Class,Standard Class
289,Second Class,Second Class
290,Standard Class,Standard Class
291,Same Day,Second Class
292,Standard Class,Standard Class
293,Standard Class,Standard Class
294,Second Class,First Class
295,Second Class,Standard Class
296,Standard Class,Standard Class
297,Standard Class,Standard Class
298,First Class,First Class
299,Standard Class,Standard Class
300,First Class,Standard Class
301,Standard Class,Standard Class
302,Standard Class,Standard Class
303,Standard Class,Standard Class
304,Same Day,First Class
305,Second Class,Second Class
306,Standard Class,Standard Class
307,Standard Class,Standard Class
308,Standard Class,Standard Class
309,Standard Class,Standard Class
310,Second Class,Standard Class
311,Standard Class,Standard Class
312,Standard Class,Standard Class
313,Standard Class,Standard Class
314,Standard Class,Standard Class
315,Standard Class,Standard Class
316,First Class,First Class
317,Same Day,Standard Class
318,Standard Class,Standard Class
319,Standard Class,Standard Class
320,Standard Class,Standard Class
321,First Class,First Class
322,Standard Class,Standard Class
323,First Class,First Class
324,Standard Class,Standard Class
325,First Class,Second Class
326,Standard Class,Standard Class
327,Second Class,Second Class
328,Standard Class,Second Class
329,Standard Class,Second Class
330,Standard Class,Standard Class
331,Second Class,Second Class
332,Standard Class,Standard Class
333,Standard Class,Standard Class
334,Standard Class,Standard Class
335,Second Class,Standard Class
336,Standard Class,Standard Class
337,Standard Class,Standard Class
338,Standard Class,Standard Class
339,Standard Class,Standard Class
340,First Class,Standard Class
341,First Class,First Class
342,Standard Class,Standard Class
343,Same Day,Standard Class
344,Second Class,Standard Class
345,Second Class,First Class
346,Standard Class,Standard Class
347,Standard Class,Standard Class
348,Standard Class,Standard Class
349,First Class,First Class
350,Standard Class,Standard Class
351,First Class,First Class
352,Standard Class,Standard Class
353,Standard Class,Standard Class
354,Second Class,Standard Class
355,Standard Class,Standard Class
356,Same Day,First Class
357,Standard Class,Standard Class
358,Standard Class,Standard Class
359,Second Class,Second Class
360,Second Class,Standard Class
361,Second Class,Standard Class
362,First Class,First Class
363,Standard Class,Standard Class
364,First Class,First Class
365,First Class,First Class
366,Standard Class,Standard Class
367,First Class,Standard Class
368,Standard Class,Standard Class
369,Second Class,Standard Class
370,Standard Class,Standard Class
371,Standard Class,Standard Class
372,Standard Class,Standard Class
373,Standard Class,Standard Class
374,Standard Class,Standard Class
375,First Class,Standard Class
376,Standard Class,Standard Class
377,Standard Class,Second Class
378,Standard Class,Standard Class
379,Standard Class,Standard Class
380,Second Class,Standard Class
381,Same Day,First Class
382,Standard Class,Standard Class
383,Standard Class,Standard Class
384,First Class,First Class
385,First Class,First Class
386,Standard Class,Standard Class
387,Second Class,Standard Class
388,First Class,Second Class
389,Same Day,Same Day
390,Second Class,Same Day
391,Second Class,Standard Class
392,Second Class,Second Class
393,Second Class,First Class
394,Second Class,Same Day
395,Standard Class,Standard Class
396,Standard Class,Standard Class
397,Standard Class,Standard Class
398,Second Class,Standard Class
399,Same Day,Standard Class
400,First Class,First Class
401,Standard Class,Standard Class
402,Standard Class,Standard Class
403,Standard Class,Standard Class
404,Standard Class,Standard Class
405,Standard Class,Standard Class
406,Standard Class,Standard Class
407,Same Day,Standard Class
408,Standard Class,Standard Class
409,First Class,Same Day
410,Standard Class,Standard Class
411,Standard Class,Standard Class
412,Standard Class,Standard Class
413,First Class,First Class
414,Standard Class,Standard Class
415,Standard Class,Standard Class
416,First Class,Second Class
417,First Class,Second Class
418,Standard Class,Standard Class
419,Second Class,Standard Class
420,First Class,First Class
421,Standard Class,Standard Class
422,Same Day,Same Day
423,Standard Class,Standard Class
424,Standard Class,Standard Class
425,Standard Class,Standard Class
426,Second Class,Standard Class
427,Standard Class,Standard Class
428,First Class,First Class
429,Standard Class,Standard Class
430,Second Class,Second Class
431,Standard Class,Standard Class
432,Standard Class,Standard Class
433,Second Class,Second Class
434,First Class,Standard Class
435,First Class,Standard Class
436,Same Day,Standard Class
437,Standard Class,Standard Class
438,Standard Class,Standard Class
439,Same Day,Standard Class
440,Second Class,Second Class
441,Standard Class,Standard Class
442,Standard Class,Standard Class
443,Second Class,Standard Class
444,Same Day,Same Day
445,Standard Class,Standard Class
446,Standard Class,Standard Class
447,Standard Class,Standard Class
448,Standard Class,Standard Class
449,Standard Class,Standard Class
450,Second Class,Second Class
451,First Class,Standard Class
452,Standard Class,Second Class
453,Standard Class,Standard Class
454,Standard Class,Standard Class
455,First Class,Standard Class
456,First Class,First Class
457,Same Day,Standard Class
458,Standard Class,Standard Class
459,Second Class,Second Class
460,Second Class,Second Class
461,Second Class,Second Class
462,Second Class,Standard Class
463,Standard Class,Standard Class
464,Standard Class,Standard Class
465,First Class,First Class
466,Standard Class,Standard Class
467,Standard Class,Standard Class
468,First Class,First Class
469,Standard Class,Standard Class
470,Standard Class,Standard Class
471,Second Class,Standard Class
472,Standard Class,Standard Class
473,Standard Class,Standard Class
474,Standard Class,Standard Class
475,Standard Class,Standard Class
476,First Class,Second Class
477,Second Class,Standard Class
478,Standard Class,Standard Class
479,Standard Class,Standard Class
480,Standard Class,Standard Class
481,Second Class,Second Class
482,Standard Class,Standard Class
483,First Class,First Class
484,Standard Class,Standard Class
485,First Class,Standard Class
486,Standard Class,Standard Class
487,Second Class,Standard Class
488,Standard Class,Standard Class
489,First Class,First Class
490,First Class,Standard Class
491,Standard Class,Standard Class
492,Same Day,First Class
493,Standard Class,Standard Class
494,First Class,First Class
495,Second Class,Second Class
496,Standard Class,Standard Class
497,First Class,First Class
498,Second Class,Second Class
499,Standard Class,Standard Class
500,Standard Class,Standard Class
501,Standard Class,Standard Class
502,Standard Class,Standard Class
503,Standard Class,Standard Class
504,First Class,First Class
505,Standard Class,Standard Class
506,Second Class,Second Class
507,Standard Class,Standard Class
508,Standard Class,Standard Class
509,Standard Class,First Class
510,First Class,First Class
511,Standard Class,Standard Class
512,Standard Class,Standard Class
513,Standard Class,Standard Class
514,Second Class,Second Class
515,Same Day,Same Day
516,Second Class,Second Class
517,Standard Class,Standard Class
518,Standard Class,Standard Class
519,Standard Class,Standard Class
520,Standard Class,Standard Class
521,Second Class,First Class
522,Standard Class,Standard Class
523,Standard Class,Standard Class
524,Standard Class,Standard Class
525,Standard Class,Standard Class
526,Standard Class,Standard Class
527,Second Class,Second Class
528,Standard Class,Standard Class
529,Second Class,Second Class
530,Standard Class,Standard Class
531,First Class,First Class
532,Second Class,Standard Class
533,First Class,Second Class
534,Standard Class,Standard Class
535,Standard Class,Standard Class
536,Standard Class,Standard Class
537,Standard Class,Standard Class
538,Standard Class,Standard Class
539,Standard Class,Standard Class
540,Second Class,Second Class
541,Second Class,Standard Class
542,Same Day,First Class
543,Standard Class,Standard Class
544,Standard Class,Standard Class
545,Standard Class,Standard Class
546,Standard Class,Standard Class
547,Standard Class,Standard Class
548,Standard Class,Standard Class
549,Second Class,Standard Class
550,Standard Class,Standard Class
551,Standard Class,First Class
552,Standard Class,Standard Class
553,Standard Class,Standard Class
554,Second Class,First Class
555,First Class,First Class
556,Same Day,Standard Class
557,First Class,Second Class
558,Standard Class,Standard Class
559,First Class,First Class
560,Same Day,Second Class
561,First Class,Standard Class
562,Second Class,Second Class
563,Second Class,Second Class
564,Same Day,Standard Class
565,First Class,Standard Class
566,Standard Class,Standard Class
567,Standard Class,Standard Class
568,Standard Class,Standard Class
569,Standard Class,Standard Class
570,Standard Class,Standard Class
571,First Class,First Class
572,First Class,Standard Class
573,Standard Class,Standard Class
574,Standard Class,Standard Class
575,Standard Class,Standard Class
576,Standard Class,Standard Class
577,Second Class,Standard Class
578,Standard Class,Standard Class
579,Standard Class,Standard Class
580,Second Class,Second Class
581,Standard Class,Standard Class
582,First Class,First Class
583,First Class,First Class
584,Standard Class,Standard Class
585,Standard Class,Standard Class
586,Standard Class,Standard Class
587,Standard Class,Standard Class
588,First Class,First Class
589,Standard Class,Standard Class
590,First Class,First Class
591,First Class,First Class
592,First Class,Second Class
593,First Class,First Class
594,Standard Class,Standard Class
595,Standard Class,Standard Class
596,Standard Class,Standard Class
597,Standard Class,Standard Class
598,Same Day,First Class
599,Standard Class,Standard Class
600,Standard Class,Standard Class
601,Standard Class,Standard Class
602,Standard Class,Standard Class
603,First Class,First Class
604,Standard Class,Standard Class
605,First Class,Second Class
606,Standard Class,Standard Class
607,First Class,Standard Class
608,First Class,First Class
609,Standard Class,Standard Class
610,Standard Class,Standard Class
611,First Class,Standard Class
612,Standard Class,Standard Class
613,Second Class,Standard Class
614,Standard Class,Standard Class
615,First Class,Same Day
616,Standard Class,Standard Class
617,Standard Class,Standard Class
618,Standard Class,Standard Class
619,Standard Class,Second Class
620,First Class,Second Class
621,Standard Class,Standard Class
622,Second Class,Second Class
623,Standard Class,Standard Class
624,Standard Class,Standard Class
625,Same Day,First Class
626,Standard Class,Standard Class
627,Standard Class,Standard Class
628,Standard Class,Standard Class
629,Standard Class,Standard Class
630,First Class,First Class
631,Second Class,Second Class
632,Standard Class,Standard Class
633,Second Class,Second Class
634,Standard Class,Standard Class
635,Standard Class,Standard Class
636,Standard Class,Standard Class
637,Standard Class,Standard Class
638,Standard Class,Standard Class
639,Standard Class,Standard Class
640,Standard Class,Standard Class
641,Standard Class,Standard Class
642,Second Class,Standard Class
643,Standard Class,Standard Class
644,Standard Class,Standard Class
645,Standard Class,Standard Class
646,Second Class,Second Class
647,Second Class,Second Class
648,Standard Class,Standard Class
649,Same Day,Standard Class
650,Standard Class,Standard Class
651,Standard Class,Standard Class
652,Standard Class,Standard Class
653,First Class,Standard Class
654,Second Class,Standard Class
655,Standard Class,Standard Class
656,Standard Class,Standard Class
657,First Class,First Class
658,Second Class,First Class
659,Standard Class,Standard Class
660,Same Day,Standard Class
661,Second Class,Standard Class
662,Standard Class,Standard Class
663,Standard Class,Standard Class
664,First Class,First Class
665,First Class,Standard Class
666,First Class,First Class
667,Standard Class,Standard Class
668,First Class,Standard Class
669,Second Class,Second Class
670,Standard Class,Standard Class
671,Second Class,Standard Class
672,Standard Class,Standard Class
673,Standard Class,Standard Class
674,Standard Class,First Class
675,Standard Class,Standard Class
676,Standard Class,Standard Class
677,Second Class,Standard Class
678,Second Class,First Class
679,Standard Class,Standard Class
680,Second Class,Standard Class
681,Second Class,Standard Class
682,Standard Class,Standard Class
683,First Class,First Class
684,Standard Class,Same Day
685,Standard Class,Standard Class
686,Same Day,Standard Class
687,Second Class,Second Class
688,Same Day,Standard Class
689,Standard Class,Standard Class
690,Standard Class,Standard Class
691,Second Class,Standard Class
692,Standard Class,Standard Class
693,Second Class,Standard Class
694,Second Class,Second Class
695,First Class,Standard Class
696,Same Day,Standard Class
697,Second Class,Second Class
698,Same Day,Same Day
699,Second Class,Second Class
700,Standard Class,Standard Class
701,Second Class,Second Class
702,Standard Class,Standard Class
703,Standard Class,Standard Class
704,Standard Class,Standard Class
705,Standard Class,Standard Class
706,Standard Class,Standard Class
707,Standard Class,Standard Class
708,Standard Class,Standard Class
709,Standard Class,Standard Class
710,Standard Class,Standard Class
711,Standard Class,Standard Class
712,Standard Class,Standard Class
713,Same Day,Standard Class
714,Standard Class,Standard Class
715,Second Class,Standard Class
716,Standard Class,Standard Class
717,Standard Class,Standard Class
718,Standard Class,Standard Class
719,Standard Class,Standard Class
720,Standard Class,Standard Class
721,First Class,Standard Class
722,Second Class,Second Class
723,Standard Class,Standard Class
724,First Class,Standard Class
725,Second Class,First Class
726,First Class,First Class
727,First Class,First Class
728,Standard Class,Standard Class
729,Standard Class,Standard Class
730,Standard Class,Standard Class
731,Standard Class,Standard Class
732,Second Class,Standard Class
733,Standard Class,Standard Class
734,Second Class,Same Day
735,Standard Class,Standard Class
736,Second Class,Second Class
737,Standard Class,Standard Class
738,Standard Class,Standard Class
739,Standard Class,Standard Class
740,Second Class,Standard Class
741,Same Day,Same Day
742,Standard Class,Standard Class
743,Standard Class,Standard Class
744,Standard Class,Standard Class
745,Second Class,Second Class
746,Second Class,Standard Class
747,Standard Class,Standard Class
748,Standard Class,Standard Class
749,First Class,Standard Class
750,Standard Class,Standard Class
751,Second Class,Second Class
752,Second Class,Standard Class
753,Second Class,Standard Class
754,Standard Class,Standard Class
755,First Class,Second Class
756,Standard Class,Standard Class
757,Standard Class,Standard Class
758,Standard Class,Standard Class
759,Second Class,Second Class
760,Standard Class,Standard Class
761,Standard Class,Standard Class
762,Standard Class,Standard Class
763,Standard Class,Standard Class
764,Standard Class,Standard Class
765,Standard Class,Standard Class
766,Standard Class,Standard Class
767,Standard Class,Standard Class
768,Second Class,Standard Class
769,Standard Class,Standard Class
770,Standard Class,Standard Class
771,Standard Class,Standard Class
772,Standard Class,Standard Class
773,Standard Class,First Class
774,First Class,First Class
775,Standard Class,Standard Class
776,First Class,Standard Class
777,Standard Class,Standard Class
778,Second Class,Standard Class
779,Standard Class,Standard Class
780,Second Class,Second Class
781,Standard Class,Standard Class
782,First Class,First Class
783,Second Class,Standard Class
784,Second Class,Second Class
785,First Class,First Class
786,Standard Class,Standard Class
787,Standard Class,Standard Class
788,Standard Class,Standard Class
789,Second Class,Standard Class
790,Standard Class,Standard Class
791,Second Class,Second Class
792,Standard Class,Standard Class
793,Standard Class,Standard Class
794,Standard Class,Standard Class
795,Same Day,Same Day
796,First Class,Standard Class
797,Standard Class,Standard Class
798,Standard Class,Standard Class
799,First Class,First Class
800,Same Day,Second Class
801,Standard Class,Standard Class
802,Standard Class,Standard Class
803,First Class,Second Class
804,Standard Class,Standard Class
805,Standard Class,Standard Class
806,Standard Class,Standard Class
807,Standard Class,Standard Class
808,First Class,Second Class
809,Same Day,Standard Class
810,Second Class,Second Class
811,Second Class,Standard Class
812,Standard Class,Standard Class
813,Standard Class,Standard Class
814,Standard Class,Standard Class
815,Standard Class,Standard Class
816,First Class,Standard Class
817,Standard Class,Standard Class
818,Standard Class,Standard Class
819,Standard Class,Standard Class
820,Standard Class,Standard Class
821,Second Class,Second Class
822,Standard Class,Standard Class
823,Standard Class,Standard Class
824,Standard Class,Standard Class
825,Standard Class,Standard Class
826,Standard Class,Standard Class
827,Standard Class,Standard Class
828,Second Class,Second Class
829,Standard Class,Standard Class
830,Second Class,Second Class
831,Second Class,Standard Class
832,Second Class,Standard Class
833,Standard Class,Standard Class
834,First Class,Standard Class
835,Standard Class,Standard Class
836,Standard Class,Standard Class
837,Second Class,Second Class
838,Standard Class,Standard Class
839,Standard Class,Standard Class
840,Standard Class,Standard Class
841,Standard Class,Standard Class
842,Standard Class,Standard Class
843,Second Class,Standard Class
844,Standard Class,Second Class
845,First Class,First Class
846,Standard Class,Standard Class
847,Second Class,First Class
848,Standard Class,Standard Class
849,Standard Class,Standard Class
850,Same Day,Same Day
851,Standard Class,Standard Class
852,First Class,First Class
853,Standard Class,Standard Class
854,Standard Class,Standard Class
855,Same Day,Second Class
856,Standard Class,Standard Class
857,First Class,Standard Class
858,Standard Class,Standard Class
859,Standard Class,Standard Class
860,Standard Class,Standard Class
861,Standard Class,Standard Class
862,Same Day,First Class
863,Standard Class,Standard Class
864,Second Class,Second Class
865,Standard Class,Second Class
866,Standard Class,Standard Class
867,Second Class,Standard Class
868,Standard Class,Standard Class
869,Standard Class,Standard Class
870,Standard Class,Standard Class
871,First Class,First Class
872,Second Class,Second Class
873,First Class,First Class
874,Standard Class,Standard Class
875,Standard Class,Standard Class
876,Standard Class,Standard Class
877,Standard Class,Standard Class
878,Standard Class,Standard Class
879,Standard Class,Second Class
880,Standard Class,Standard Class
881,Standard Class,Standard Class
882,Standard Class,Standard Class
883,First Class,First Class
884,Standard Class,Standard Class
885,Standard Class,Standard Class
886,Standard Class,Second Class
887,Standard Class,Standard Class
888,Standard Class,Standard Class
889,Standard Class,Standard Class
890,Second Class,Standard Class
891,First Class,First Class
892,Standard Class,Standard Class
893,First Class,First Class
894,Standard Class,Standard Class
895,First Class,First Class
896,Standard Class,Standard Class
897,Second Class,Standard Class
898,Second Class,Standard Class
899,Second Class,Standard Class
900,Second Class,Second Class
901,Standard Class,Standard Class
902,Standard Class,Standard Class
903,Standard Class,Standard Class
904,Standard Class,Standard Class
905,Second Class,Standard Class
906,Standard Class,Standard Class
907,Second Class,Standard Class
908,First Class,Second Class
909,First Class,Standard Class
910,First Class,First Class
911,Second Class,Second Class
912,Standard Class,Standard Class
913,Standard Class,Standard Class
914,Standard Class,Second Class
915,Standard Class,Standard Class
916,Standard Class,Standard Class
917,Second Class,Standard Class
918,Standard Class,Standard Class
919,First Class,Standard Class
920,Second Class,Standard Class
921,First Class,Standard Class
922,Standard Class,Standard Class
923,Second Class,Second Class
924,Second Class,First Class
925,Standard Class,Standard Class
926,Standard Class,Standard Class
927,First Class,First Class
928,Standard Class,Standard Class
929,Standard Class,Standard Class
930,Standard Class,Standard Class
931,Standard Class,Standard Class
932,Standard Class,Standard Class
933,Second Class,Standard Class
934,Standard Class,Standard Class
935,Second Class,Standard Class
936,Second Class,Standard Class
937,Standard Class,Standard Class
938,First Class,Second Class
939,Standard Class,Standard Class
940,Second Class,First Class
941,Standard Class,Standard Class
942,First Class,First Class
943,Same Day,Same Day
944,Standard Class,Standard Class
945,Second Class,Second Class
946,First Class,First Class
947,Second Class,Second Class
948,First Class,Standard Class
949,Standard Class,Standard Class
950,Second Class,Standard Class
951,Same Day,Same Day
952,First Class,Standard Class
953,Standard Class,Standard Class
954,Standard Class,Standard Class
955,First Class,First Class
956,Standard Class,Standard Class
957,Standard Class,Standard Class
958,Standard Class,Standard Class
959,First Class,First Class
960,Second Class,Second Class
961,Standard Class,Standard Class
962,First Class,Standard Class
963,Standard Class,Standard Class
964,Second Class,Second Class
965,Second Class,Standard Class
966,Second Class,Second Class
967,Second Class,Second Class
968,Standard Class,Standard Class
969,Standard Class,Standard Class
970,Standard Class,Standard Class
971,First Class,First Class
972,Standard Class,Second Class
973,Standard Class,Standard Class
974,Standard Class,Standard Class
975,First Class,First Class
976,First Class,First Class
977,Standard Class,Standard Class
978,Standard Class,Standard Class
979,Second Class,Second Class
980,Standard Class,Standard Class
981,Standard Class,Standard Class
982,Second Class,Second Class
983,First Class,First Class
984,Standard Class,Standard Class
985,Standard Class,Standard Class
986,Second Class,Standard Class
987,Standard Class,Standard Class
988,First Class,First Class
989,Second Class,Standard Class
990,First Class,Second Class
991,Second Class,Standard Class
992,Standard Class,Standard Class
993,Standard Class,Standard Class
994,Standard Class,Standard Class
995,Standard Class,Standard Class
996,First Class,First Class
997,Standard Class,Standard Class
998,Standard Class,Standard Class
999,Same Day,Same Day
1000,Standard Class,Standard Class
1001,Standard Class,Standard Class
1002,Standard Class,Standard Class
1003,Second Class,Standard Class
1004,Standard Class,Standard Class
1005,Standard Class,Standard Class
1006,Standard Class,Standard Class
1007,Second Class,Second Class
1008,Standard Class,Standard Class
1009,Second Class,Second Class
1010,Standard Class,Standard Class
1011,Standard Class,Standard Class
1012,Standard Class,Standard Class
1013,First Class,Standard Class
1014,Standard Class,Standard Class
1015,Standard Class,Standard Class
1016,Standard Class,Standard Class
1017,Second Class,Standard Class
1018,Standard Class,Standard Class
1019,Same Day,Standard Class
1020,Standard Class,Standard Class
1021,Second Class,Standard Class
1022,Second Class,Standard Class
1023,Standard Class,Standard Class
1024,Standard Class,Standard Class
1025,Second Class,Standard Class
1026,Standard Class,Standard Class
1027,Standard Class,Standard Class
1028,First Class,Standard Class
1029,First Class,Second Class
1030,Standard Class,Standard Class
1031,Second Class,Standard Class
1032,Standard Class,Standard Class
1033,Standard Class,Standard Class
1034,Standard Class,Second Class
1035,Standard Class,Standard Class
1036,Standard Class,Standard Class
1037,Standard Class,Standard Class
1038,Same Day,Same Day
1039,First Class,Standard Class
1040,Standard Class,Standard Class
1041,Second Class,Second Class
1042,Standard Class,Standard Class
1043,Second Class,Second Class
1044,Standard Class,Standard Class
1045,First Class,Standard Class
1046,First Class,First Class
1047,Standard Class,Standard Class
1048,Standard Class,Standard Class
1049,Standard Class,Standard Class
1050,First Class,Standard Class
1051,Standard Class,Standard Class
1052,First Class,Second Class
1053,Second Class,Second Class
1054,Second Class,Standard Class
1055,Standard Class,Standard Class
1056,Standard Class,Standard Class
1057,Standard Class,Standard Class
1058,Standard Class,Standard Class
1059,Second Class,Standard Class
1060,Standard Class,Standard Class
1061,Standard Class,Second Class
1062,Standard Class,Standard Class
1063,Second Class,Second Class
1064,Standard Class,Standard Class
1065,Standard Class,Standard Class
