Date ID	Order Date	Ship Date	Day of Week
ID-2013-29564	1/2/2013 12:00:00 AM	1/3/2013 12:00:00 AM	3
ID-2012-36403	10/10/2012 12:00:00 AM	10/11/2012 12:00:00 AM	3
IN-2012-23782	12/26/2012 12:00:00 AM	12/26/2012 12:00:00 AM	3
ID-2013-31720	5/1/2013 12:00:00 AM	5/4/2013 12:00:00 AM	3
IN-2014-78900	12/3/2014 12:00:00 AM	12/7/2014 12:00:00 AM	3
CA-2014-165323	6/18/2014 12:00:00 AM	6/22/2014 12:00:00 AM	3
IT-2011-4771701	9/21/2011 12:00:00 AM	9/23/2011 12:00:00 AM	3
SF-2014-2330	11/26/2014 12:00:00 AM	11/29/2014 12:00:00 AM	3
ES-2012-5113958	8/1/2012 12:00:00 AM	8/6/2012 12:00:00 AM	3
AJ-2013-2640	1/23/2013 12:00:00 AM	1/27/2013 12:00:00 AM	3
IN-2011-51964	12/28/2011 12:00:00 AM	12/29/2011 12:00:00 AM	3
LT-2011-270	4/27/2011 12:00:00 AM	4/30/2011 12:00:00 AM	3
MX-2014-124744	12/17/2014 12:00:00 AM	12/19/2014 12:00:00 AM	3
ES-2012-4589770	11/21/2012 12:00:00 AM	11/24/2012 12:00:00 AM	3
ES-2013-3042991	3/20/2013 12:00:00 AM	3/23/2013 12:00:00 AM	3
IN-2014-17972	3/26/2014 12:00:00 AM	3/29/2014 12:00:00 AM	3
IT-2011-3270900	11/30/2011 12:00:00 AM	12/1/2011 12:00:00 AM	3
TU-2012-2690	5/23/2012 12:00:00 AM	5/26/2012 12:00:00 AM	3
IN-2013-58929	5/29/2013 12:00:00 AM	6/1/2013 12:00:00 AM	3
IT-2012-2646674	8/29/2012 12:00:00 AM	9/1/2012 12:00:00 AM	3
IN-2011-63577	6/15/2011 12:00:00 AM	6/17/2011 12:00:00 AM	3
RS-2014-4120	3/19/2014 12:00:00 AM	3/23/2014 12:00:00 AM	3
SF-2014-3560	12/24/2014 12:00:00 AM	12/27/2014 12:00:00 AM	3
IN-2013-50809	6/12/2013 12:00:00 AM	6/17/2013 12:00:00 AM	3
IT-2014-2009199	11/26/2014 12:00:00 AM	12/3/2014 12:00:00 AM	3
IN-2014-27947	4/30/2014 12:00:00 AM	5/4/2014 12:00:00 AM	3
MX-2011-158204	9/28/2011 12:00:00 AM	9/30/2011 12:00:00 AM	3
ID-2012-65411	7/18/2012 12:00:00 AM	7/19/2012 12:00:00 AM	3
ES-2014-4032097	4/9/2014 12:00:00 AM	4/12/2014 12:00:00 AM	3
CA-2013-107104	11/27/2013 12:00:00 AM	12/1/2013 12:00:00 AM	3
IN-2014-44257	4/16/2014 12:00:00 AM	4/18/2014 12:00:00 AM	3
IN-2011-23530	11/9/2011 12:00:00 AM	11/11/2011 12:00:00 AM	3
ES-2014-2538638	10/15/2014 12:00:00 AM	10/17/2014 12:00:00 AM	3
IN-2014-32084	8/6/2014 12:00:00 AM	8/9/2014 12:00:00 AM	3
IN-2011-44901	2/23/2011 12:00:00 AM	2/26/2011 12:00:00 AM	3
MX-2013-141474	10/30/2013 12:00:00 AM	11/5/2013 12:00:00 AM	3
SF-2013-9730	10/30/2013 12:00:00 AM	11/4/2013 12:00:00 AM	3
CA-2014-160885	12/3/2014 12:00:00 AM	12/7/2014 12:00:00 AM	3
CA-2013-133711	11/27/2013 12:00:00 AM	11/30/2013 12:00:00 AM	3
ES-2014-2421154	12/24/2014 12:00:00 AM	12/24/2014 12:00:00 AM	3
IN-2011-43375	12/7/2011 12:00:00 AM	12/11/2011 12:00:00 AM	3
IN-2013-34170	12/18/2013 12:00:00 AM	12/25/2013 12:00:00 AM	3
IN-2011-51740	8/3/2011 12:00:00 AM	8/6/2011 12:00:00 AM	3
IN-2012-63787	5/23/2012 12:00:00 AM	5/23/2012 12:00:00 AM	3
MX-2013-147690	11/13/2013 12:00:00 AM	11/18/2013 12:00:00 AM	3
IN-2014-34317	2/12/2014 12:00:00 AM	2/14/2014 12:00:00 AM	3
IR-2012-1470	8/22/2012 12:00:00 AM	8/29/2012 12:00:00 AM	3
IT-2012-2093927	3/14/2012 12:00:00 AM	3/17/2012 12:00:00 AM	3
MX-2012-131758	10/17/2012 12:00:00 AM	10/21/2012 12:00:00 AM	3
IN-2012-37698	12/12/2012 12:00:00 AM	12/14/2012 12:00:00 AM	3
CA-2013-128818	5/8/2013 12:00:00 AM	5/12/2013 12:00:00 AM	3
IN-2012-50788	6/20/2012 12:00:00 AM	6/22/2012 12:00:00 AM	3
ES-2014-1015287	4/16/2014 12:00:00 AM	4/16/2014 12:00:00 AM	3
ES-2014-1356130	8/6/2014 12:00:00 AM	8/7/2014 12:00:00 AM	3
IN-2012-83471	12/26/2012 12:00:00 AM	12/27/2012 12:00:00 AM	3
MX-2011-134705	5/4/2011 12:00:00 AM	5/8/2011 12:00:00 AM	3
MX-2014-157077	11/12/2014 12:00:00 AM	11/16/2014 12:00:00 AM	3
MX-2012-167892	5/23/2012 12:00:00 AM	5/25/2012 12:00:00 AM	3
IN-2013-42269	6/5/2013 12:00:00 AM	6/9/2013 12:00:00 AM	3
MX-2014-124002	1/8/2014 12:00:00 AM	1/13/2014 12:00:00 AM	3
QA-2014-940	12/24/2014 12:00:00 AM	12/28/2014 12:00:00 AM	3
IN-2013-48324	2/27/2013 12:00:00 AM	3/4/2013 12:00:00 AM	3
US-2012-158323	7/4/2012 12:00:00 AM	7/4/2012 12:00:00 AM	3
MX-2014-116267	12/31/2014 12:00:00 AM	1/3/2015 12:00:00 AM	3
MX-2013-100223	10/9/2013 12:00:00 AM	10/14/2013 12:00:00 AM	3
IN-2013-59888	10/16/2013 12:00:00 AM	10/18/2013 12:00:00 AM	3
US-2012-134558	12/19/2012 12:00:00 AM	12/24/2012 12:00:00 AM	3
IN-2011-47596	10/19/2011 12:00:00 AM	10/24/2011 12:00:00 AM	3
IT-2014-5245370	6/18/2014 12:00:00 AM	6/18/2014 12:00:00 AM	3
IN-2011-12526	6/22/2011 12:00:00 AM	6/27/2011 12:00:00 AM	3
MO-2013-5590	9/25/2013 12:00:00 AM	10/1/2013 12:00:00 AM	3
CA-2014-157854	4/9/2014 12:00:00 AM	4/16/2014 12:00:00 AM	3
IN-2014-17230	5/28/2014 12:00:00 AM	6/1/2014 12:00:00 AM	3
RS-2011-8730	8/17/2011 12:00:00 AM	8/19/2011 12:00:00 AM	3
ES-2014-1133803	8/6/2014 12:00:00 AM	8/6/2014 12:00:00 AM	3
IZ-2014-2150	6/18/2014 12:00:00 AM	6/21/2014 12:00:00 AM	3
IN-2014-43550	12/31/2014 12:00:00 AM	1/1/2015 12:00:00 AM	3
CA-2014-167395	12/3/2014 12:00:00 AM	12/5/2014 12:00:00 AM	3
CA-2013-165848	6/5/2013 12:00:00 AM	6/5/2013 12:00:00 AM	3
IN-2014-25014	1/29/2014 12:00:00 AM	2/2/2014 12:00:00 AM	3
LH-2012-9760	5/30/2012 12:00:00 AM	6/2/2012 12:00:00 AM	3
IR-2013-3500	1/2/2013 12:00:00 AM	1/4/2013 12:00:00 AM	3
ES-2014-5852851	9/24/2014 12:00:00 AM	10/1/2014 12:00:00 AM	3
MX-2012-102848	9/26/2012 12:00:00 AM	9/28/2012 12:00:00 AM	3
TU-2014-5220	3/5/2014 12:00:00 AM	3/7/2014 12:00:00 AM	3
US-2013-123526	6/5/2013 12:00:00 AM	6/9/2013 12:00:00 AM	3
ES-2013-4897406	10/16/2013 12:00:00 AM	10/18/2013 12:00:00 AM	3
IN-2011-31594	6/8/2011 12:00:00 AM	6/13/2011 12:00:00 AM	3
SF-2012-9560	4/25/2012 12:00:00 AM	4/30/2012 12:00:00 AM	3
MX-2012-103618	4/18/2012 12:00:00 AM	4/21/2012 12:00:00 AM	3
ID-2014-79257	10/29/2014 12:00:00 AM	10/31/2014 12:00:00 AM	3
ID-2011-74175	11/23/2011 12:00:00 AM	11/25/2011 12:00:00 AM	3
IV-2014-5230	12/10/2014 12:00:00 AM	12/13/2014 12:00:00 AM	3
CA-2014-154410	10/22/2014 12:00:00 AM	10/25/2014 12:00:00 AM	3
ID-2012-31118	12/26/2012 12:00:00 AM	12/28/2012 12:00:00 AM	3
ID-2012-39875	4/25/2012 12:00:00 AM	4/27/2012 12:00:00 AM	3
MX-2012-134355	11/28/2012 12:00:00 AM	12/3/2012 12:00:00 AM	3
ID-2014-19498	7/23/2014 12:00:00 AM	7/25/2014 12:00:00 AM	3
IN-2013-46252	5/1/2013 12:00:00 AM	5/5/2013 12:00:00 AM	3
CA-2012-112452	4/4/2012 12:00:00 AM	4/4/2012 12:00:00 AM	3
IT-2014-5465876	9/24/2014 12:00:00 AM	9/26/2014 12:00:00 AM	3
CA-2012-164882	10/31/2012 12:00:00 AM	10/31/2012 12:00:00 AM	3
IN-2012-80069	12/19/2012 12:00:00 AM	12/22/2012 12:00:00 AM	3
CA-2014-102379	12/3/2014 12:00:00 AM	12/7/2014 12:00:00 AM	3
CA-2013-153598	12/4/2013 12:00:00 AM	12/7/2013 12:00:00 AM	3
US-2014-116862	12/17/2014 12:00:00 AM	12/21/2014 12:00:00 AM	3
IN-2011-62737	11/16/2011 12:00:00 AM	11/22/2011 12:00:00 AM	3
CA-2012-154746	11/14/2012 12:00:00 AM	11/17/2012 12:00:00 AM	3
ID-2014-29641	4/9/2014 12:00:00 AM	4/13/2014 12:00:00 AM	3
BN-2011-2460	9/21/2011 12:00:00 AM	9/26/2011 12:00:00 AM	3
CA-2014-145884	10/22/2014 12:00:00 AM	10/22/2014 12:00:00 AM	3
IT-2013-3453314	11/13/2013 12:00:00 AM	11/18/2013 12:00:00 AM	3
ID-2012-53959	8/15/2012 12:00:00 AM	8/19/2012 12:00:00 AM	3
IR-2012-2200	4/25/2012 12:00:00 AM	4/25/2012 12:00:00 AM	3
US-2011-135972	9/21/2011 12:00:00 AM	9/23/2011 12:00:00 AM	3
MX-2013-113460	10/2/2013 12:00:00 AM	10/5/2013 12:00:00 AM	3
CA-2013-123540	4/3/2013 12:00:00 AM	4/7/2013 12:00:00 AM	3
ID-2013-33421	10/16/2013 12:00:00 AM	10/18/2013 12:00:00 AM	3
MO-2014-4970	9/17/2014 12:00:00 AM	9/21/2014 12:00:00 AM	3
IN-2014-20870	7/9/2014 12:00:00 AM	7/13/2014 12:00:00 AM	3
RS-2011-4850	6/29/2011 12:00:00 AM	7/4/2011 12:00:00 AM	3
MX-2011-163300	12/14/2011 12:00:00 AM	12/14/2011 12:00:00 AM	3
CA-2014-136448	9/17/2014 12:00:00 AM	9/19/2014 12:00:00 AM	3
CA-2014-157987	9/3/2014 12:00:00 AM	9/7/2014 12:00:00 AM	3
MX-2011-150441	10/26/2011 12:00:00 AM	10/28/2011 12:00:00 AM	3
ID-2013-25868	5/22/2013 12:00:00 AM	5/24/2013 12:00:00 AM	3
ES-2012-2563560	3/7/2012 12:00:00 AM	3/12/2012 12:00:00 AM	3
IN-2014-20499	3/26/2014 12:00:00 AM	3/29/2014 12:00:00 AM	3
ID-2014-41303	12/10/2014 12:00:00 AM	12/14/2014 12:00:00 AM	3
IN-2011-30824	6/1/2011 12:00:00 AM	6/3/2011 12:00:00 AM	3
ID-2011-78592	8/3/2011 12:00:00 AM	8/7/2011 12:00:00 AM	3
IN-2013-37761	5/1/2013 12:00:00 AM	5/4/2013 12:00:00 AM	3
IN-2013-49199	8/21/2013 12:00:00 AM	8/27/2013 12:00:00 AM	3
IN-2011-41254	6/22/2011 12:00:00 AM	6/26/2011 12:00:00 AM	3
CG-2014-5280	11/26/2014 12:00:00 AM	11/27/2014 12:00:00 AM	3
IN-2014-46595	11/5/2014 12:00:00 AM	11/7/2014 12:00:00 AM	3
SF-2013-2200	3/20/2013 12:00:00 AM	3/23/2013 12:00:00 AM	3
ES-2012-3077199	6/20/2012 12:00:00 AM	6/22/2012 12:00:00 AM	3
IN-2012-44915	4/18/2012 12:00:00 AM	4/23/2012 12:00:00 AM	3
ID-2011-21101	11/30/2011 12:00:00 AM	12/3/2011 12:00:00 AM	3
MX-2014-104472	9/17/2014 12:00:00 AM	9/19/2014 12:00:00 AM	3
IN-2013-52804	7/10/2013 12:00:00 AM	7/14/2013 12:00:00 AM	3
ES-2012-2195955	3/7/2012 12:00:00 AM	3/9/2012 12:00:00 AM	3
LE-2013-5910	1/9/2013 12:00:00 AM	1/9/2013 12:00:00 AM	3
IN-2013-27247	9/11/2013 12:00:00 AM	9/16/2013 12:00:00 AM	3
CA-2014-560	10/8/2014 12:00:00 AM	10/8/2014 12:00:00 AM	3
ES-2011-3286627	6/15/2011 12:00:00 AM	6/17/2011 12:00:00 AM	3
CA-2013-107202	5/22/2013 12:00:00 AM	5/29/2013 12:00:00 AM	3
MX-2011-109267	1/5/2011 12:00:00 AM	1/9/2011 12:00:00 AM	3
ES-2011-4852530	4/27/2011 12:00:00 AM	5/3/2011 12:00:00 AM	3
TU-2014-6290	6/25/2014 12:00:00 AM	6/29/2014 12:00:00 AM	3
CA-2012-148635	7/25/2012 12:00:00 AM	7/27/2012 12:00:00 AM	3
ES-2013-4184078	7/3/2013 12:00:00 AM	7/5/2013 12:00:00 AM	3
MX-2013-157672	12/11/2013 12:00:00 AM	12/14/2013 12:00:00 AM	3
KE-2013-1160	8/21/2013 12:00:00 AM	8/23/2013 12:00:00 AM	3
CA-2014-116715	12/3/2014 12:00:00 AM	12/6/2014 12:00:00 AM	3
ES-2014-4303897	5/7/2014 12:00:00 AM	5/7/2014 12:00:00 AM	3
MX-2012-105900	12/19/2012 12:00:00 AM	12/21/2012 12:00:00 AM	3
US-2011-152821	12/28/2011 12:00:00 AM	12/30/2011 12:00:00 AM	3
ES-2011-4024349	7/27/2011 12:00:00 AM	7/31/2011 12:00:00 AM	3
ID-2012-55359	3/28/2012 12:00:00 AM	4/2/2012 12:00:00 AM	3
IN-2012-32805	12/19/2012 12:00:00 AM	12/23/2012 12:00:00 AM	3
SF-2013-9460	2/27/2013 12:00:00 AM	3/1/2013 12:00:00 AM	3
IN-2014-32406	11/26/2014 12:00:00 AM	11/30/2014 12:00:00 AM	3
ID-2014-44124	10/29/2014 12:00:00 AM	11/1/2014 12:00:00 AM	3
US-2013-143448	12/11/2013 12:00:00 AM	12/11/2013 12:00:00 AM	3
MX-2012-142174	12/26/2012 12:00:00 AM	12/28/2012 12:00:00 AM	3
IN-2014-51607	11/19/2014 12:00:00 AM	11/24/2014 12:00:00 AM	3
IN-2013-38685	5/15/2013 12:00:00 AM	5/19/2013 12:00:00 AM	3
SF-2013-6330	11/13/2013 12:00:00 AM	11/13/2013 12:00:00 AM	3
ES-2014-5705147	7/30/2014 12:00:00 AM	8/4/2014 12:00:00 AM	3
MX-2012-148404	1/25/2012 12:00:00 AM	1/26/2012 12:00:00 AM	3
MX-2012-133424	4/4/2012 12:00:00 AM	4/7/2012 12:00:00 AM	3
US-2014-167920	12/10/2014 12:00:00 AM	12/13/2014 12:00:00 AM	3
CA-2011-131002	9/7/2011 12:00:00 AM	9/12/2011 12:00:00 AM	3
IN-2011-78312	8/17/2011 12:00:00 AM	8/17/2011 12:00:00 AM	3
IN-2013-33337	3/6/2013 12:00:00 AM	3/6/2013 12:00:00 AM	3
ID-2013-55401	8/7/2013 12:00:00 AM	8/9/2013 12:00:00 AM	3
MX-2011-150112	7/20/2011 12:00:00 AM	7/20/2011 12:00:00 AM	3
ES-2011-2399281	6/8/2011 12:00:00 AM	6/11/2011 12:00:00 AM	3
ES-2013-1838601	2/20/2013 12:00:00 AM	2/23/2013 12:00:00 AM	3
ES-2013-4643172	10/23/2013 12:00:00 AM	10/27/2013 12:00:00 AM	3
IN-2013-26659	8/7/2013 12:00:00 AM	8/14/2013 12:00:00 AM	3
MX-2013-165071	10/23/2013 12:00:00 AM	10/28/2013 12:00:00 AM	3
IN-2014-77059	9/3/2014 12:00:00 AM	9/6/2014 12:00:00 AM	3
IN-2011-76163	6/29/2011 12:00:00 AM	7/3/2011 12:00:00 AM	3
IN-2013-39231	6/19/2013 12:00:00 AM	6/24/2013 12:00:00 AM	3
ES-2011-5276461	5/4/2011 12:00:00 AM	5/10/2011 12:00:00 AM	3
IR-2014-6100	6/11/2014 12:00:00 AM	6/16/2014 12:00:00 AM	3
IN-2012-57823	12/5/2012 12:00:00 AM	12/10/2012 12:00:00 AM	3
MX-2013-169096	5/29/2013 12:00:00 AM	6/2/2013 12:00:00 AM	3
MX-2013-132395	6/5/2013 12:00:00 AM	6/10/2013 12:00:00 AM	3
CA-2013-132479	9/25/2013 12:00:00 AM	9/27/2013 12:00:00 AM	3
ES-2012-1404439	6/20/2012 12:00:00 AM	6/24/2012 12:00:00 AM	3
ES-2013-1337779	8/7/2013 12:00:00 AM	8/11/2013 12:00:00 AM	3
ES-2012-2960821	5/16/2012 12:00:00 AM	5/21/2012 12:00:00 AM	3
CA-2013-158099	9/4/2013 12:00:00 AM	9/6/2013 12:00:00 AM	3
EG-2014-950	7/2/2014 12:00:00 AM	7/9/2014 12:00:00 AM	3
MX-2013-117471	8/14/2013 12:00:00 AM	8/18/2013 12:00:00 AM	3
IN-2014-23894	4/2/2014 12:00:00 AM	4/5/2014 12:00:00 AM	3
IN-2013-81021	7/10/2013 12:00:00 AM	7/12/2013 12:00:00 AM	3
SF-2014-4410	3/26/2014 12:00:00 AM	3/30/2014 12:00:00 AM	3
CA-2014-144498	5/7/2014 12:00:00 AM	5/7/2014 12:00:00 AM	3
ES-2014-3691479	11/12/2014 12:00:00 AM	11/16/2014 12:00:00 AM	3
ES-2014-2591069	10/29/2014 12:00:00 AM	11/2/2014 12:00:00 AM	3
CA-2011-144666	11/9/2011 12:00:00 AM	11/11/2011 12:00:00 AM	3
ES-2013-3570218	2/6/2013 12:00:00 AM	2/11/2013 12:00:00 AM	3
MX-2014-104829	11/5/2014 12:00:00 AM	11/8/2014 12:00:00 AM	3
ES-2014-3995946	8/13/2014 12:00:00 AM	8/13/2014 12:00:00 AM	3
US-2012-161991	9/26/2012 12:00:00 AM	9/28/2012 12:00:00 AM	3
MX-2014-151218	4/16/2014 12:00:00 AM	4/18/2014 12:00:00 AM	3
IN-2014-67553	12/24/2014 12:00:00 AM	12/28/2014 12:00:00 AM	3
ES-2011-3249098	5/4/2011 12:00:00 AM	5/8/2011 12:00:00 AM	3
MX-2014-145877	11/26/2014 12:00:00 AM	11/29/2014 12:00:00 AM	3
ES-2012-1205030	12/19/2012 12:00:00 AM	12/25/2012 12:00:00 AM	3
IN-2013-69128	10/23/2013 12:00:00 AM	10/28/2013 12:00:00 AM	3
ES-2014-5437739	11/12/2014 12:00:00 AM	11/14/2014 12:00:00 AM	3
IZ-2014-7980	3/26/2014 12:00:00 AM	3/28/2014 12:00:00 AM	3
IN-2012-79264	12/19/2012 12:00:00 AM	12/23/2012 12:00:00 AM	3
ES-2013-5114494	1/2/2013 12:00:00 AM	1/8/2013 12:00:00 AM	3
IT-2011-1298611	8/17/2011 12:00:00 AM	8/22/2011 12:00:00 AM	3
RS-2014-7690	1/29/2014 12:00:00 AM	2/1/2014 12:00:00 AM	3
IN-2011-42619	7/20/2011 12:00:00 AM	7/22/2011 12:00:00 AM	3
CA-2014-111332	5/21/2014 12:00:00 AM	5/23/2014 12:00:00 AM	3
IN-2011-56990	2/2/2011 12:00:00 AM	2/5/2011 12:00:00 AM	3
ID-2011-58250	10/26/2011 12:00:00 AM	11/1/2011 12:00:00 AM	3
IN-2011-27534	11/9/2011 12:00:00 AM	11/10/2011 12:00:00 AM	3
CA-2014-158561	11/12/2014 12:00:00 AM	11/17/2014 12:00:00 AM	3
CA-2014-131828	2/12/2014 12:00:00 AM	2/14/2014 12:00:00 AM	3
IN-2012-40043	8/8/2012 12:00:00 AM	8/12/2012 12:00:00 AM	3
IN-2012-80370	7/11/2012 12:00:00 AM	7/13/2012 12:00:00 AM	3
US-2014-110597	5/21/2014 12:00:00 AM	5/27/2014 12:00:00 AM	3
MX-2014-160241	12/10/2014 12:00:00 AM	12/12/2014 12:00:00 AM	3
ES-2012-3362320	8/29/2012 12:00:00 AM	8/31/2012 12:00:00 AM	3
ID-2012-47085	10/17/2012 12:00:00 AM	10/21/2012 12:00:00 AM	3
US-2014-136917	11/26/2014 12:00:00 AM	11/28/2014 12:00:00 AM	3
MX-2013-138653	6/26/2013 12:00:00 AM	6/28/2013 12:00:00 AM	3
IN-2013-28353	8/21/2013 12:00:00 AM	8/23/2013 12:00:00 AM	3
IN-2011-55268	9/7/2011 12:00:00 AM	9/8/2011 12:00:00 AM	3
IT-2014-2542510	8/6/2014 12:00:00 AM	8/8/2014 12:00:00 AM	3
AJ-2011-4420	6/8/2011 12:00:00 AM	6/8/2011 12:00:00 AM	3
IN-2013-12239	1/16/2013 12:00:00 AM	1/18/2013 12:00:00 AM	3
EG-2011-7590	7/20/2011 12:00:00 AM	7/22/2011 12:00:00 AM	3
ZA-2011-9910	1/19/2011 12:00:00 AM	1/21/2011 12:00:00 AM	3
MX-2013-143665	12/4/2013 12:00:00 AM	12/5/2013 12:00:00 AM	3
IT-2012-5921836	12/26/2012 12:00:00 AM	12/30/2012 12:00:00 AM	3
IN-2013-37446	8/7/2013 12:00:00 AM	8/11/2013 12:00:00 AM	3
US-2014-118087	9/10/2014 12:00:00 AM	9/14/2014 12:00:00 AM	3
IT-2011-3316894	12/14/2011 12:00:00 AM	12/16/2011 12:00:00 AM	3
IN-2014-15403	10/1/2014 12:00:00 AM	10/6/2014 12:00:00 AM	3
ES-2011-3108517	6/1/2011 12:00:00 AM	6/6/2011 12:00:00 AM	3
ES-2014-3223979	4/2/2014 12:00:00 AM	4/7/2014 12:00:00 AM	3
IN-2013-84087	6/26/2013 12:00:00 AM	7/3/2013 12:00:00 AM	3
ZA-2011-7570	12/14/2011 12:00:00 AM	12/19/2011 12:00:00 AM	3
ID-2014-35269	1/8/2014 12:00:00 AM	1/8/2014 12:00:00 AM	3
MX-2011-107482	9/14/2011 12:00:00 AM	9/14/2011 12:00:00 AM	3
ES-2013-2335105	6/12/2013 12:00:00 AM	6/15/2013 12:00:00 AM	3
ES-2011-5338028	12/28/2011 12:00:00 AM	1/1/2012 12:00:00 AM	3
ID-2013-19792	6/12/2013 12:00:00 AM	6/16/2013 12:00:00 AM	3
IN-2013-20303	10/9/2013 12:00:00 AM	10/16/2013 12:00:00 AM	3
IN-2013-86824	3/27/2013 12:00:00 AM	3/27/2013 12:00:00 AM	3
SF-2014-200	3/12/2014 12:00:00 AM	3/15/2014 12:00:00 AM	3
MX-2011-157595	7/27/2011 12:00:00 AM	7/28/2011 12:00:00 AM	3
MX-2014-111122	1/15/2014 12:00:00 AM	1/15/2014 12:00:00 AM	3
RS-2014-1460	12/31/2014 12:00:00 AM	1/2/2015 12:00:00 AM	3
IN-2013-60224	8/7/2013 12:00:00 AM	8/10/2013 12:00:00 AM	3
MX-2011-132605	11/2/2011 12:00:00 AM	11/4/2011 12:00:00 AM	3
IN-2012-75428	8/29/2012 12:00:00 AM	8/30/2012 12:00:00 AM	3
ES-2014-3977309	11/12/2014 12:00:00 AM	11/16/2014 12:00:00 AM	3
ES-2014-3555631	9/17/2014 12:00:00 AM	9/19/2014 12:00:00 AM	3
IN-2012-59391	6/20/2012 12:00:00 AM	6/22/2012 12:00:00 AM	3
MX-2012-117919	11/28/2012 12:00:00 AM	12/2/2012 12:00:00 AM	3
US-2014-166688	5/21/2014 12:00:00 AM	5/27/2014 12:00:00 AM	3
IN-2014-33666	6/4/2014 12:00:00 AM	6/8/2014 12:00:00 AM	3
CA-2013-155530	12/18/2013 12:00:00 AM	12/22/2013 12:00:00 AM	3
CG-2013-9870	11/6/2013 12:00:00 AM	11/11/2013 12:00:00 AM	3
ES-2014-3048733	6/25/2014 12:00:00 AM	6/30/2014 12:00:00 AM	3
CA-2014-112333	4/9/2014 12:00:00 AM	4/15/2014 12:00:00 AM	3
MX-2013-143434	12/25/2013 12:00:00 AM	12/29/2013 12:00:00 AM	3
IN-2013-30775	5/29/2013 12:00:00 AM	6/1/2013 12:00:00 AM	3
EG-2012-6980	11/28/2012 12:00:00 AM	11/30/2012 12:00:00 AM	3
CA-2011-141313	12/28/2011 12:00:00 AM	1/1/2012 12:00:00 AM	3
US-2011-157385	11/23/2011 12:00:00 AM	11/25/2011 12:00:00 AM	3
CA-2014-147760	11/5/2014 12:00:00 AM	11/6/2014 12:00:00 AM	3
US-2013-116771	5/1/2013 12:00:00 AM	5/1/2013 12:00:00 AM	3
CA-2014-155075	12/3/2014 12:00:00 AM	12/10/2014 12:00:00 AM	3
IN-2014-26071	9/17/2014 12:00:00 AM	9/20/2014 12:00:00 AM	3
CM-2012-6780	9/19/2012 12:00:00 AM	9/23/2012 12:00:00 AM	3
US-2011-114342	9/21/2011 12:00:00 AM	9/21/2011 12:00:00 AM	3
CA-2011-134572	4/20/2011 12:00:00 AM	4/22/2011 12:00:00 AM	3
IN-2013-55674	10/23/2013 12:00:00 AM	10/29/2013 12:00:00 AM	3
ID-2011-41443	12/21/2011 12:00:00 AM	12/23/2011 12:00:00 AM	3
MX-2013-130526	8/14/2013 12:00:00 AM	8/18/2013 12:00:00 AM	3
